Date,DayType,FirstPeriod,LastPeriod
1/26/21,A,1,5
1/27/21,A,6,10
1/28/21,B,1,5
1/29/21,B,6,10
2/2/21,A,1,5
2/3/21,A,6,10
2/4/21,B,1,5
2/5/21,B,6,10
2/8/21,A,1,5
2/9/21,A,6,10
2/10/21,B,1,5
2/11/21,B,6,10
2/22/21,A,1,5
2/23/21,A,6,10
2/24/21,B,1,5
2/25/21,B,6,10
2/26/21,A,1,5
3/1/21,A,6,10
3/2/21,B,1,5
3/3/21,B,6,10
3/4/21,A,1,5
3/5/21,A,6,10
3/8/21,B,1,5
3/9/21,B,6,10
3/10/21,A,1,5
3/11/21,A,6,10
3/12/21,B,1,5
3/15/21,B,6,10
3/16/21,A,1,5
3/17/21,A,6,10
3/18/21,B,1,5
3/19/21,B,6,10
3/22/21,A,1,5
3/23/21,A,6,10
3/24/21,B,1,5
3/25/21,B,6,10
3/26/21,B,1,10
4/5/21,A,1,5
4/6/21,A,6,10
4/7/21,B,1,5
4/8/21,B,6,10
4/9/21,A,1,5
4/12/21,A,6,10
4/13/21,B,1,5
4/14/21,B,6,10
4/15/21,A,1,5
4/16/21,A,6,10
4/19/21,B,1,5
4/20/21,B,6,10
4/21/21,A,1,5
4/22/21,A,6,10
4/23/21,B,1,5
4/26/21,B,6,10
4/27/21,A,1,5
4/28/21,A,6,10
4/29/21,B,1,5
4/30/21,B,6,10
5/3/21,A,1,5
5/4/21,A,6,10
5/5/21,B,1,5
5/6/21,B,6,10
5/7/21,A,1,5
5/10/21,A,6,10
5/11/21,B,1,5
5/12/21,B,6,10
5/14/21,A,1,5
5/17/21,A,6,10
5/18/21,B,1,5
5/19/21,B,6,10
5/20/21,A,1,5
5/21/21,A,6,10
5/24/21,B,1,5
5/25/21,B,6,10
5/26/21,A,1,5
5/27/21,A,6,10
5/28/21,B,1,5
6/1/21,B,6,10
6/2/21,A,1,5
6/4/21,A,6,10
6/7/21,B,1,5
6/8/21,B,6,10
6/9/21,A,1,5
6/10/21,A,6,10
6/11/21,B,1,5
6/14/21,B,6,10
